Fake Student Identifier,Gender,Age at Semester Start,Domestic / international status,Mode of Study,Semester,Fake UoS Identifier,UoS Mark,UoS changes before Week 1,UoS changes before Week 2,UoS changes before census date,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC
1381,M,18 and under,Domestic,Full Time,1,UNIT A,66,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
371,M,18 and under,International,Full Time,2,UNIT J,71,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3146,M,19-21,International,Full Time,2,UNIT D,54,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2604,F,18 and under,International,Full Time,2,UNIT J,68,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1996,F,18 and under,Domestic,Full Time,2,UNIT D,70,4,4,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2667,F,18 and under,Domestic,Full Time,2,UNIT J,64,6,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
532,F,18 and under,Domestic,Full Time,2,UNIT J,84,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1148,M,18 and under,Domestic,Full Time,2,UNIT J,85,20,20,24,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1824,M,19-21,Domestic,Full Time,2,UNIT B,65,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1132,F,19-21,Domestic,Full Time,2,UNIT G,81,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2472,M,Over 25,Domestic,Full Time,1,UNIT H,63,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
